id,area_px,centroid_x,centroid_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,perimeter_px,circularity
1,3314,547.7984308992154,74.08509354254677,494,53,600,95,107,43,262.5096663236618,0.6043266802422533
2,3758,772.8629590207557,178.12959020755721,727,141,822,219,96,79,273.948264837265,0.6292591391132346
3,4606,588.8506296135475,198.06296135475466,567,135,611,266,45,132,308.9949471950531,0.6062210915315495
4,2236,956.4736135957066,200.22808586762076,933,164,976,232,44,69,189.19595766067505,0.7849788527966699
5,3850,788.0662337662337,223.74753246753247,730,193,843,255,114,63,290.83556723594666,0.5719730417115868
6,2333,639.1358765537934,226.2194599228461,610,196,668,257,59,62,195.2375888824463,0.7691264229124427
7,2607,425.1108553893364,231.7794399693134,392,202,459,262,68,61,204.20815074443817,0.7856059250043683
8,2670,1034.825093632959,268.3520599250936,1003,235,1066,303,64,69,212.7939374446869,0.7409734110478143
9,1514,778.4134742404227,271.9669749009247,756,251,803,295,48,45,150.36753070354462,0.841448621648055
10,2134,529.9981255857545,276.941893158388,495,257,567,295,73,39,186.02438509464264,0.7749336573380512
11,2455,832.0488798370673,278.12505091649695,812,242,853,316,42,75,200.02438509464264,0.7710729581230595
12,4581,624.9585243396639,278.89849377865096,570,241,687,320,118,80,314.09040105342865,0.5835268277751087
13,2330,1015.3914163090129,303.562660944206,987,271,1044,334,58,64,194.30865609645844,0.7754994407007896
14,4228,360.6184957426679,322.31149479659416,325,275,395,371,71,97,269.90663480758667,0.7293193256672645
15,3953,803.9314444725525,338.7553756640526,752,310,855,366,104,57,265.8650051355362,0.702771798604351
16,2683,449.11554230339175,371.0387625792024,423,333,472,407,50,75,204.9949471950531,0.8023137287590898
17,2725,1319.496513761468,370.9856880733945,1285,340,1356,403,72,64,216.45079135894775,0.7309000889036296
18,4032,1260.6951884920634,373.312251984127,1228,323,1288,419,61,97,261.03657722473145,0.7435799227744202
19,1915,891.0610966057441,376.9394255874674,865,351,916,403,52,53,169.68123996257782,0.8358165839298581
20,1842,649.0472312703583,386.85559174809987,617,368,680,405,64,38,170.9533177614212,0.7920350892138774
21,2190,370.83881278538814,392.82191780821915,333,375,410,411,78,37,193.0954531431198,0.7380909560856197
22,2599,600.9138130050019,403.37937668333973,581,365,622,444,42,80,206.8528118133545,0.7632965263661863
23,1907,214.50288411116938,404.2139486103828,192,374,234,432,43,59,170.12489068508148,0.8279895178651119
24,2253,553.7594318686196,425.1717709720373,531,391,576,460,46,70,188.75230658054352,0.7946694560859144
25,3182,328.7008170961659,432.11879321181647,301,393,354,475,54,83,228.6518018245697,0.7648227243953738
26,1987,241.2133870156014,448.4313034725717,211,424,269,473,59,50,171.82337498664856,0.8457524033418211
27,2038,484.9990186457311,448.19185475956823,452,427,518,470,67,44,187.53910386562347,0.7281659565432285
28,3764,899.5146121147715,458.44048884165784,873,405,924,506,52,102,260.30865597724915,0.6980431330549063
29,3997,1026.9699774831124,466.1818864148111,980,426,1081,508,102,83,290.43354749679565,0.5954570659644347
30,2589,493.8385477018154,482.87678640401697,458,434,534,510,77,77,226.20815074443817,0.6358071619806275
31,1430,641.4951048951049,491.03776223776225,614,475,668,508,55,34,147.05382215976715,0.8309851589159548
32,3693,1061.9937720010832,491.8109937720011,1016,460,1103,525,88,66,246.59292685985565,0.7631816874808595
33,2896,712.5894337016574,497.810773480663,669,477,759,520,91,44,228.75230705738068,0.6954684868372963
34,2290,260.63362445414845,520.7318777292577,235,488,285,553,51,66,190.16652011871338,0.79575106338381
35,4128,93.62063953488372,523.7306201550388,38,490,147,555,110,66,285.90663492679596,0.6346014859350899
36,2413,604.2076253626192,525.7472026523001,565,506,643,545,79,40,198.85281193256378,0.7668381533520787
37,3876,394.0872033023736,531.8660990712075,364,475,424,584,61,110,285.8650052547455,0.5960348385996014
38,2652,1067.7767722473604,537.7828054298642,1031,515,1107,561,77,47,208.2670260667801,0.7683203789101767
39,3826,766.3193936225823,548.2770517511761,706,524,821,572,116,49,282.79393804073334,0.6011940009476239
41,2420,467.10619834710747,568.0822314049586,430,549,506,587,77,39,198.95331740379333,0.7682858946331302
42,2270,558.3700440528635,585.7449339207049,526,557,591,615,66,59,194.45079123973846,0.7544253827335163
43,1536,478.3919270833333,609.5891927083334,452,590,505,628,54,39,151.53910374641418,0.8405269657287102
44,1981,594.9106511862695,612.562847046946,571,583,618,643,48,61,177.09545266628265,0.793742290195688
45,48,485.8958333333333,617.6458333333334,315,288,844,773,530,486,46.72792184352875,0.2762473799802641
