id,area_px,centroid_x,centroid_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,perimeter_px,circularity
25,6963,1077.4373115036622,528.6334913112164,1013,485,1139,573,127,89,353.6051193475723,0.6997923190773802
26,4401,218.22699386503066,549.2281299704613,167,523,265,576,99,54,266.40916073322296,0.779225082860066
27,4198,874.3799428299191,549.8168175321582,819,527,926,575,108,49,277.23758816719055,0.6863538500848853
28,4252,622.0656161806209,554.513640639699,575,524,670,585,96,62,263.37972390651703,0.7702619481447587
29,3610,130.23019390581717,554.7232686980609,89,521,170,589,82,69,244.10764515399933,0.7612973245106227
30,3963,446.5881907645723,561.6404239212718,399,534,494,589,96,56,253.62236535549164,0.774210111675229
31,3377,1117.072549600237,575.5626295528575,1083,536,1147,613,65,78,229.86500430107117,0.8031473116691376
32,6234,1010.704683991017,590.174045556625,945,548,1079,634,135,87,364.6761862039566,0.5890631472198149
33,4235,1170.780401416765,599.3471074380166,1145,550,1195,651,51,102,264.16652035713196,0.762619186612222
34,5265,101.68414055080721,600.4098765432099,54,557,152,643,99,87,299.46298336982727,0.7377716210982064
35,6129,536.8133463860336,604.3586229401208,457,577,604,631,148,55,362.1076452732086,0.5873866838879566
36,3853,1235.2460420451596,605.4137036075786,1197,567,1274,644,78,78,247.66399466991425,0.7893745602019455
37,3276,728.7765567765567,605.997557997558,687,577,767,638,81,62,229.8650040626526,0.7791266208131862
38,6332,293.8337018319646,616.1168667087808,251,560,337,675,87,116,328.19090592861176,0.7387503247185698
39,4755,204.54700315457413,639.9080967402734,171,578,242,698,72,121,316.39191603660583,0.5969110632048901
40,3594,632.4151363383417,663.5523094045632,597,624,670,702,74,79,246.35028612613678,0.7441865125986608
41,4006,418.417623564653,671.7059410883675,379,634,462,709,84,76,256.83556628227234,0.7631510053718131
42,5487,1158.7625296154547,685.5328959358484,1093,660,1227,712,135,53,328.55129647254944,0.6387610905423454
43,4714,837.8587187102248,689.9870598218074,796,642,882,736,87,95,288.5340505838394,0.7115497934913979
44,3184,279.78329145728645,704.8351130653266,250,669,309,742,60,74,221.23758816719055,0.8174573299632328
45,5995,929.6502085070892,708.0555462885739,871,659,999,755,129,97,365.6467504501343,0.5634762493578483
46,4519,1316.1011285682673,714.9101571144058,1287,661,1348,768,62,108,279.1787129640579,0.7285973775954766
47,5282,413.3729647860659,738.040136312003,360,689,474,786,115,98,334.13203155994415,0.5945276239683562
48,7206,720.1139328337497,754.3834304746046,638,727,797,786,160,60,393.4213539361954,0.5850436427024588
49,3937,1386.2143764287528,755.2001524003048,1347,713,1424,796,78,84,253.22034442424774,0.7715748951103172
50,48,604.2916666666666,660.7291666666666,421,454,1006,941,586,488,48.041630148887634,0.2613458634145216
51,7056,1255.2617630385487,764.0133219954648,1188,708,1324,815,137,108,388.75944805145264,0.5866870774713069
52,7148,848.9395635142697,767.5952714045887,782,702,911,830,130,129,408.55843698978424,0.5381285590077852
53,7272,169.82109460946094,769.0548679867986,113,702,226,833,114,132,379.62950575351715,0.6340796498978281
54,2689,768.7883971736705,803.8579397545556,732,779,801,827,70,49,201.43859827518463,0.832751233843517
55,6872,1009.6763678696159,806.9912689173458,937,763,1087,854,151,92,399.445739030838,0.5412244767331086
56,4233,411.9433026222537,812.9936215450035,366,779,456,849,91,71,262.59292674064636,0.7714221153243594
58,4187,241.0441843802245,853.2538810604251,193,825,291,883,99,59,268.30865597724915,0.7308755898429075
60,3485,799.2243902439025,860.2246771879484,759,829,839,891,81,63,234.20815074443817,0.798378138543893
61,7005,105.15617416131334,860.6546752319772,33,829,177,891,145,63,359.0782073736191,0.6827157262423772
62,5447,928.0218468881953,860.7444464843032,879,815,978,904,100,90,309.80613052845,0.7131604074030139
63,3712,747.6408943965517,902.6274245689655,723,855,773,949,51,95,246.99494779109955,0.7646130245609717
64,7177,988.211508987042,905.2324090845757,917,870,1072,951,156,82,400.1909055709839,0.5631425983008754
65,6785,1290.411790714812,919.9902726602801,1247,850,1337,995,91,146,383.8893892765045,0.5785587941592244
66,5320,656.1471804511278,931.0146616541354,592,889,716,974,125,86,338.91882729530334,0.5820095438027152
67,7008,347.99543378995435,939.0991723744293,264,910,424,966,161,57,392.24978148937225,0.5723722059605554
68,4256,1120.7546992481202,939.8411654135339,1090,891,1154,987,65,97,268.45079123973846,0.7421336204089762
69,2850,1205.3870175438597,956.5975438596491,1183,917,1231,993,49,77,212.85281240940094,0.7904891955046948
70,6108,741.6781270464963,977.6226260641781,662,946,810,1014,149,69,367.46298360824585,0.5684361619957381
71,3179,464.3730732934885,981.3032400125826,427,952,502,1011,76,60,223.48022830486298,0.7998751032177822
72,2598,588.6512702078522,997.828714395689,553,973,624,1021,72,49,198.16652035713196,0.8313586954691679
73,7164,270.3137911781128,1003.3530150753769,193,966,353,1042,161,77,402.6761860847473,0.5552052294351815
74,3649,662.714990408331,1009.2622636338723,627,969,697,1051,71,83,246.59292590618134,0.7540888164521886
75,3246,345.43530499075786,1026.9577942082562,305,1001,386,1054,82,54,223.137082695961,0.8192470343482714
76,1693,719.2911990549321,1063.393975191967,697,1041,745,1088,49,48,158.3675309419632,0.8482708252483909
77,2507,544.3370562425209,1064.1236537694456,522,1033,567,1099,46,67,194.36753106117249,0.8339053531914103
78,3968,1096.624495967742,1074.0680443548388,1074,1023,1120,1126,47,104,259.580734372139,0.7400083394697393
79,3411,610.6992084432718,1074.9179126355907,567,1050,656,1100,90,51,236.3086553812027,0.7675953327208748
80,7951,849.3383222236197,1076.705697396554,780,1021,922,1139,143,119,411.6295040845871,0.589683024648195
81,3904,424.4920594262295,1080.889856557377,396,1037,455,1127,60,91,251.72286891937256,0.7742377227492071
82,3780,989.8301587301587,1093.80291005291,953,1052,1026,1135,74,84,249.9066355228424,0.7605820794629203
83,3107,757.9488252333441,1097.0463469584809,724,1059,789,1134,66,76,226.10764527320862,0.7636961881263681
84,5947,1201.4099545989575,1130.7378510173196,1153,1069,1253,1198,101,130,361.9310202598572,0.5705007088784326
85,5395,490.28211306765525,1150.87859128823,460,1086,521,1220,62,135,334.35028553009033,0.6064540716694201
86,5654,570.7601697912982,1167.8066855323664,521,1108,619,1228,99,121,346.9604558944702,0.5902088381381647
87,6065,686.5663643858203,1170.278812860676,655,1095,721,1248,67,154,376.73506140708923,0.5369929555713764
88,4164,1150.4029779058596,1171.5302593659942,1101,1144,1200,1200,100,57,262.55129647254944,0.7590882177323769
89,4150,621.106265060241,1187.635903614458,590,1142,653,1239,64,98,269.0365775823593,0.7205021836482749
90,3811,889.0881658357387,1187.6399895040672,846,1159,934,1217,89,59,246.5512968301773,0.7878331128445286
91,5617,308.97009079579846,1218.6717108776927,263,1159,355,1281,93,123,344.2325351238251,0.5956764866620959
92,8156,966.838891613536,1224.635360470819,937,1139,993,1315,57,177,419.27921891212463,0.5830159092167827
93,2551,870.9439435515484,1237.687181497452,835,1216,904,1261,70,46,195.78174471855164,0.8363266456636869
94,6093,765.7475791892335,1262.3210241260463,722,1197,809,1332,88,136,360.81832206249237,0.5881171947642224
95,4486,562.1845742309407,1262.8825234061526,531,1213,594,1314,64,102,273.5218586921692,0.7535031205845967
96,2478,849.6198547215496,1291.4140435835352,826,1255,875,1326,50,72,203.68123924732208,0.7506009482237578
97,6571,1045.8380763962866,1304.4710089788464,993,1252,1095,1356,103,105,332.9188264608383,0.7450143210516135
98,7498,254.24193118164845,1324.7942117898106,171,1298,334,1355,164,58,396.3502856492996,0.5997868627048603
99,6526,412.62948207171314,1344.1429665951578,342,1302,484,1384,143,83,374.7766921520233,0.5838641180009632
100,6389,525.8660197213961,1366.1737361089372,471,1309,589,1427,119,119,371.2447292804718,0.5825351814587885
101,6284,849.410407383832,1411.6214194780396,819,1337,879,1484,61,148,363.2792184352875,0.5983632760710169
